adsh,ddate,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,InterestExpense,Liabilities,LiabilitiesCurrent,LongTermDebtNoncurrent,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,PaymentsToAcquirePropertyPlantAndEquipment,Revenues,StockholdersEquity,current_ratio,cash_ratio,debt_to_equity,debt_to_assets,net_profit_margin,return_on_assets,return_on_equity,free_cash_flow,operating_cf_ratio,risk_score,risk_category
0000005513-24-000015,20231231,35272800000.0,14520073.0,12180000.0,1277965.0,53603800000.0,12204998.0,107203000.0,1548000000.0,1283800000.0,-1630000.0,134800000.0,12385900000.0,19400000.0,0.8311600980251587,0.2999388915531042,7.924464023164104,1.5196922274387064,0.1036501182796567,0.036396316708625344,66.17525773195877,1413200000.0,0.02887854965506177,1.502166374242659,2
0000005513-25-000015,20231231,63255200000.0,14520073.0,12180000.0,1277965.0,4317900000.0,12204998.0,107203000.0,1548000000.0,1283800000.0,-1630000.0,113100000.0,12385900000.0,9651400000.0,0.8311600980251587,0.2999388915531042,0.36975908209216496,0.06826158165652785,0.1036501182796567,0.020295564633421442,0.13301697163105872,1434900000.0,0.35850760786493435,-0.9547485194600377,0
0000005513-25-000015,20241231,61959300000.0,14520073.0,12180000.0,1277965.0,50998200000.0,12204998.0,107203000.0,1358200000.0,1779100000.0,-1630000.0,125700000.0,12887300000.0,1489600000.0,0.8311600980251587,0.2999388915531042,3.5620731340998946,0.8230919329301655,0.13805063900118722,0.028714010648925987,1.1943474758324382,1232500000.0,0.026632312512990655,0.22495316133478166,1
0000010048-24-000020,20230930,3100000.0,9085000.0,2830000.0,2000.0,16664000.0,6598000.0,107203000.0,1943000.0,-961000.0,-1630000.0,1020572.5,201000.0,18744000.0,0.8658107503458979,0.356917412267495,0.6360640821031993,5.3754838709677415,-4.781094527363184,-0.31,-0.05126973965002134,-1621403.0,0.11659865578492559,0.10730218177610498,1
0000010048-24-000020,20240930,30669000.0,8883000.0,4505000.0,2000.0,17607000.0,7812000.0,107203000.0,4710000.0,-5565000.0,-1630000.0,1020572.5,17396000.0,13040000.0,0.7594482603811854,0.45531940894491474,0.8545132218110053,0.5740976230069451,-0.3199011266957921,-0.18145358505331116,-0.4267638036809816,-1621403.0,0.2675072414380644,0.08900641538609745,1
0000011544-24-000005,20221231,5195752000.0,14520073.0,103522000.0,130374000.0,3022119000.0,12204998.0,107203000.0,2568604000.0,1381062000.0,-1630000.0,1020572.5,11166499000.0,6748332000.0,0.8311600980251587,0.2999388915531042,0.37006726347247565,0.5816518956255033,0.12367905106157266,0.2658059892004083,0.20465234964729062,-1621403.0,0.8499347643160312,0.0897785513091599,1
0000011544-24-000005,20231231,30132743000.0,14520073.0,128434000.0,127459000.0,29732778000.0,12204998.0,107203000.0,951018000.0,346782000.0,-1630000.0,1020572.5,1171000000.0,7455431000.0,0.8311600980251587,0.2999388915531042,1.6070489885768042,0.9867265651852538,0.29614175918018787,0.011508477671614562,0.04651401106119821,-1621403.0,0.031985507711388424,0.491904512389531,1
0000011544-25-000005,20231231,37202015000.0,14520073.0,1363195000.0,127459000.0,3177557000.0,12204998.0,107203000.0,951018000.0,1381359000.0,-1630000.0,1020572.5,1171000000.0,7455431000.0,0.8311600980251587,0.2999388915531042,0.35501848401277103,0.08541357235622855,1.1796404782237404,0.03713129517312436,0.18528224592246914,-1621403.0,0.299292192083415,0.07864953102839269,1
0000011544-25-000005,20241231,11567419000.0,14520073.0,112931000.0,126907000.0,32159829000.0,12204998.0,107203000.0,3678368000.0,1756115000.0,-1630000.0,1020572.5,11181501000.0,8395111000.0,0.8311600980251587,0.2999388915531042,1.5750080854507544,2.780207840660047,0.15705538996955776,0.1518156297441979,0.20918305904472256,-1621403.0,0.11437772259299016,0.5042461156765798,1
0000012927-24-000010,20221231,16149000000.0,109523000000.0,14614000000.0,1277965.0,152948000000.0,90052000000.0,107203000.0,3512000000.0,-4935000000.0,-2341000000.0,1222000000.0,8393000000.0,-15883000000.0,0.7958028242731351,0.15038704653437984,-2.363648859736472,9.471050839061242,-0.5879899916597164,-0.305591677503251,0.31070956368444247,2290000000.0,0.02296205246227476,-2.0540239214635987,0
0000012927-24-000010,20231231,16193000000.0,109275000000.0,12691000000.0,1277965.0,154240000000.0,95827000000.0,107203000.0,5960000000.0,-2222000000.0,3329000000.0,1527000000.0,32387000000.0,-17233000000.0,0.7609629339426657,0.12437157540943734,-2.297599669510126,9.52510343975792,-0.06860777472442647,-0.13721978632742543,0.12893866419079672,4433000000.0,0.038641078838174275,-3.498920486727349,0
0000012927-25-000015,20231231,77047000000.0,109275000000.0,12691000000.0,1277965.0,154240000000.0,95827000000.0,107203000.0,5960000000.0,-2222000000.0,-70000000.0,1527000000.0,356000000.0,-17233000000.0,0.7609629339426657,0.12437157540943734,-2.297599669510126,2.0018949472399963,-6.241573033707865,-0.0288395395018625,0.12893866419079672,4433000000.0,0.038641078838174275,-3.59270382316699,0
